web_url,headline,snippet,word_count,source,type_of_material,date,id
https://www.nytimes.com/aponline/2019/01/10/us/politics/ap-us-election-2020-kirsten-gillibrand.html,Gillibrand Makes Big Moves Toward 2020 Campaign,"Sen. Kirsten Gillibrand is moving aggressively toward an expected presidential bid, filling out key staff positions, traveling to key states and nearing a choice on the location for a campaign headquarters, according to multiple people familiar wi...",489,AP,News,2019-01-10,90
https://www.nytimes.com/aponline/2019/01/07/us/politics/ap-us-shutdown-border-reality.html,The Reality on the Border: How Much Will a Wall Really Help?,President Donald Trump says there is&#160;a security crisis at the U.S.-Mexico border that can be addressed only by spending $5.7 billion on a wall.&#160;,850,AP,News,2019-01-07,91
https://www.nytimes.com/reuters/2019/01/08/business/08reuters-gold-etfs.html,"Gold-Backed ETFs Gained Globally in 2018, Even With North America Outflows","Gold-backed exchange-traded funds ended 2018 with new inflows globally as uncertainty about Britain's exit from the EU drove investors to the perceived safety of European-backed ETFs, more than offsetting outflows in North America resulting from a...",321,Reuters,News,2019-01-08,92
https://www.nytimes.com/aponline/2019/01/08/sports/golf/ap-glf-ryder-cup-europe-captain.html,Harrington Takes 'Daunting' Role of Europe Ryder Cup Captain,Padraig Harrington barely raised a smile as he spoke for the first time as Europe's new Ryder Cup captain.,692,AP,News,2019-01-08,93
https://www.nytimes.com/aponline/2019/01/08/world/africa/ap-af-congo-election.html,Congo Opposition Says Candidate 'Presumed Winner' of Vote,"A Congo opposition party is calling its candidate the ""presumed winner"" of the presidential election and indicates that Felix Tshisekedi has had contact with departing President Joseph Kabila ""to prepare a peaceful and civilized transfer of power....",126,AP,News,2019-01-08,94
https://www.nytimes.com/2019/01/07/world/europe/francis-nationalism-immigration.html,Pope Francis Appeals to Europe to Show ‘Solidarity’ With Migrants,"Francis warned against a resurgence of populist movements and urged compassion for migrants fleeing poverty, violence and natural disasters.",666,The New York Times,News,2019-01-07,95
https://www.nytimes.com/2019/01/07/us/malibu-shootings.html,Man Charged in Malibu Park Shootings That Killed One and Terrorized Region,"Anthony Rauda, a parolee, was charged with murder and attempted murder in a string of shootings in and near Malibu Creek State Park that left one dead and a community on edge.",786,The New York Times,News,2019-01-08,96
https://www.nytimes.com/2019/01/06/movies/golden-globes.html,‘Bohemian Rhapsody’ and ‘Green Book’ Share Spotlight at the Golden Globes,Rami Malek and Glenn Close took best drama acting awards. Alfonso Cuarón won best director for “Roma.”,1887,The New York Times,News,2019-01-06,97
https://www.nytimes.com/aponline/2019/01/08/arts/ap-us-tv-sex-education.html,Netflix's 'Sex Education' Is a Trans-Atlantic Love Letter,"Among the bumper crop of original series debuting this month on Netflix is one that's both a time warp and a trans-Atlantic hug. It's called ""Sex Education"" and it's like a classic John Hughes high school comedy bloomed in the United Kingdom.",656,AP,News,2019-01-08,98
https://www.nytimes.com/reuters/2019/01/08/world/europe/08reuters-britain-eu-hate.html,Angry Protests Bring Britain's Brexit Divide to Parliament's Doors,"Some protesters wrap themselves in the flag of the European Union and noisily interrupt politicians' television appearances. Others yell ""Nazi"" and ""traitor"".",866,Reuters,News,2019-01-08,99
